RACE_ETH_CODE|RACE_ETH_NAME
1000|White (Checkbox)
1001|White
1002|White American (By Checkbox)
1003|White American (By Write-in)
1004|White (Edit Generated)
1010|Albanian
1015|Alsatian
1020|Andorran
1025|Armenian
1030|Austrian
1031|Tyrolean
1035|Azerbaijani
1040|Basque
1041|French Basque
1045|Belarusian
1050|Belgian
1051|Fleming
1055|Bosnian and Herzegovinian
1060|Bulgarian
1065|British
1070|British Islander
1071|Channel Islander
1072|Gibraltarian
1075|Carpatho Rusyn
1076|Rusnak
1077|Ruthenian
1080|Celtic
1085|Cornish
1090|Croatian
1095|Cypriot
1096|Turkish Cypriote
1100|Czech
1101|Bohemian
1102|Moravian
1105|Czechoslovakian
1110|Danish
1115|Dutch
1121|English
1125|Estonian
1130|European
1131|Central European
1132|Eastern European
1133|Mediterranean
1134|Northern European
1135|Western European
1139|European, Not Elsewhere Classified
1140|Faroe Islander
1145|Finnish
1150|Finno Ugrian
1156|French
1157|Corsican
1160|Frisian
1165|Georgian CIS
1171|German
1172|Bavarian
1173|Prussian
1174|Saxon
1175|German from Russia
1180|Germanic
1185|Greek
1190|Hungarian
1195|Icelandic
1201|Irish
1206|Italian
1207|Sardinian
1208|Sicilian
1210|Kosovan
1215|Lapp
1220|Latvian
1225|Liechtensteiner
1230|Lithuanian
1235|Luxembourger
1240|Macedonian
1245|Maltese
1250|Manx
1255|Moldovan
1260|Monegasque
1265|Montenegrin
1270|North Caucasian
1275|Northern Irelander
1280|Norwegian
1286|Polish
1290|Portuguese
1291|Azores Islander
1292|Madeiran
1295|Roma
1300|Romanian
1301|Vlach
1305|Russian
1310|Scandinavian
1311|Nordic
1312|Viking
1315|Scots-Irish
1320|Scottish
1325|Serbian
1330|Siberian
1335|Slavic
1336|Sorb
1340|Slovak
1345|Slovenian
1350|Soviet Union
1355|Swedish
1360|Swiss
1365|Tatar
1370|Turkish
1375|Ukrainian
1385|Welsh
1390|Yugoslavian
1750|Afrikaner
1755|Australian
1760|Cajun
1765|Canadian
1770|Caucasian
1775|French Canadian
1780|Greenlandic
1785|New Zealander
1790|Pennsylvania German
1795|Turkic (White Turkic - edit generated)
1840|Anglo
1849|White Responses, Not Elsewhere Classified
2000|Hispanic, Latino, or Spanish (Checkbox)
2001|Hispanic, Latino, or Spanish (Write-in)
2002|Hispanic
2003|Hispanic American (By Checkbox)
2004|Hispanic American (By Write-in)
2005|Hispanic (Edit Generated)
2010|Yes, Mexican, Mexican Am., Chicano (Detailed Checkbox)
2011|Mexican
2020|Mexican American
2030|Chicano(a)
2040|La Raza
2050|Mexican Geography
