TABBLKST|TABBLKCOU|TABTRACTCE|TABBLK|PLACEFP|AIANNHCE
01|001|000001|0001|22800|0001
01|001|000001|0002|22800|0001
01|001|000002|0001|22800|0001
01|001|000002|0002|22800|0001
01|002|000001|0001|22800|0002
01|002|000001|0002|22800|0002
01|002|000002|0001|22800|0002
01|002|000002|0002|22800|0002
02|001|000001|0001|22800|0002
02|001|000001|0002|22800|0002
02|001|000002|0001|22800|0003
02|001|000002|0002|22800|0003
02|002|000001|0001|22800|0003
02|002|000001|0002|22800|0003
02|002|000002|0001|22800|0003
02|002|000002|0002|22800|0003
72|031|050901|2040|99999|9999
72|031|050902|2041|10001|9999
11|001|000100|3004|99999|9999
