ITERATION_CODE|RACE_ETH_CODE
0001|1000
0001|1001
0001|1010
0001|1011
0001|1012
0001|1020
0001|1021
0001|1031
0001|1340
0002|1001
0002|1010
0002|1011
0002|1012
0002|1020
0002|1021
0002|1031
0002|1340
0003|1010
0003|1011
0003|1012
0004|1020
0004|1021
0070|1020
0070|1021
0070|1031
0071|7030
0074|7030
0112|1000
0112|1001
0112|1010
0112|1011
0112|1012
0112|1020
0112|1021
0112|1031
0113|1001
0113|1010
0113|1011
0113|1012
0113|1020
0113|1021
0113|1031
0114|1010
0114|1011
0114|1012
0115|1020
0115|1021
0181|1020
0181|1021
0181|1031
0182|7030
0185|7030
0225|3105
0226|3105
0238|3166
0293|3105
0294|3105
0306|3166
0800|8000
0801|8000
0802|8001
0803|8001
0804|8002
0805|8002
0900|8000
0901|8000
0902|8001
0903|8001
0904|8002
0905|8002
3007|1340
3007|3310
3007|5454
3008|2021
3008|2030
3008|2040
3008|2322
3010|2010
3010|2020
3010|2021
3011|2020
3011|2021
3040|2030
3040|2040
3042|2040
3080|8080
3081|8080
