REGION_ID|REGION_TYPE|ITERATION_CODE|COUNT
1|USA|3080|2
1|USA|0902|-44
1|USA|0800|13
1|USA|0904|-1
1|USA|0804|-13
1|USA|0900|15
1|USA|0802|37
1|USA|3081|1
1|USA|3042|1
1|USA|0805|1
1|USA|0803|2
1|USA|0115|4
1|USA|0801|1
1|USA|0901|3
1|USA|0905|2
1|USA|0903|0
1|USA|0004|4
01|STATE|3080|-22
02|STATE|3080|-1
11|STATE|3080|16
01|STATE|0800|-12
11|STATE|0804|-5
02|STATE|0804|-1
01|STATE|0902|-8
02|STATE|0800|-1
11|STATE|0904|-8
01|STATE|0802|3
01|STATE|0904|44
01|STATE|0804|7
02|STATE|0802|-1
02|STATE|0902|13
11|STATE|0800|-19
11|STATE|0900|-10
02|STATE|0904|25
01|STATE|0900|-8
11|STATE|0802|-11
02|STATE|0900|-4
11|STATE|0902|2
02|STATE|3081|-5
11|STATE|3042|0
01|STATE|3042|-1
11|STATE|3081|-1
01|STATE|3081|-1
02|STATE|0115|3
11|STATE|0801|1
01|STATE|0805|-2
02|STATE|0901|-1
01|STATE|0803|-2
02|STATE|0801|1
11|STATE|0903|0
01|STATE|0801|-1
01|STATE|0903|1
11|STATE|0115|1
02|STATE|0905|1
11|STATE|0803|1
11|STATE|0901|4
01|STATE|0905|2
11|STATE|0805|-1
01|STATE|0901|4
01|STATE|0115|5
02|STATE|0803|-1
02|STATE|0805|-3
11|STATE|0905|-1
02|STATE|3042|1
02|STATE|0903|-1
01|STATE|0004|-1
02|STATE|0004|2
11|STATE|0004|0
1|USA|3010|5
1|USA|0113|37
1|USA|0225|-3
1|USA|0182|-20
1|USA|0293|-15
1|USA|0071|-81
1|USA|0002|-3
1|USA|3011|3
1|USA|0294|1
1|USA|0226|0
1|USA|0185|0
1|USA|0114|6
1|USA|0306|-2
1|USA|0238|1
1|USA|0074|-1
1|USA|0003|0
01|STATE|3010|28
02|STATE|3010|0
11|STATE|3010|18
11|STATE|0293|0
01|STATE|0293|1
02|STATE|0113|24
11|STATE|0182|18
11|STATE|0113|34
02|STATE|0225|2
01|STATE|0113|-36
02|STATE|0293|5
01|STATE|0182|-25
11|STATE|0225|-26
01|STATE|0225|-18
01|STATE|0071|-18
02|STATE|0071|15
11|STATE|0071|-3
02|STATE|0002|16
11|STATE|0002|-16
01|STATE|0002|34
02|STATE|0182|-42
11|STATE|3011|1
02|STATE|3011|2
01|STATE|3011|5
01|STATE|0238|-3
02|STATE|0185|2
01|STATE|0114|6
11|STATE|0226|1
01|STATE|0306|-1
02|STATE|0294|0
02|STATE|0306|0
01|STATE|0185|1
01|STATE|0226|5
